id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"fe80::7624:9fff:fed0:d00e","74:24:9f:d0:d0:0e","74:24:9f",0,"fdf9:1a05:99d8:10:872:cc47:73ae:7753","56:b3:0b:bf:aa:87","56:b3:0b",0,58,6,0,0,1738874967444,1738874967444,0,2,172,1738874967444,1738874967444,0,1,86,1738874967444,1738874967444,0,1,86,"ICMPV6","Network",0,6,"","","","",""
1,0,"2605:59c8:414b:af10:872:cc47:73ae:7753","56:b3:0b:bf:aa:87","56:b3:0b",56458,"2620:1ec:8f8::10","74:24:9f:d0:d0:0e","74:24:9f",443,6,6,0,0,1738874971473,1738874972109,636,209,174136,1738874971473,1738874972109,636,113,163840,1738874971548,1738874972108,560,96,10296,"TLS","Web",0,6,"","","","",""
2,0,"192.168.1.246","56:b3:0b:bf:aa:87","56:b3:0b",56506,"52.168.117.174","74:24:9f:d0:d0:0e","74:24:9f",443,6,4,0,0,1738874976153,1738874976259,106,9,6217,1738874976153,1738874976259,106,6,5609,1738874976212,1738874976259,47,3,608,"TLS","Web",0,6,"","","","",""
3,0,"fdf9:1a05:99d8:10:872:cc47:73ae:7753","56:b3:0b:bf:aa:87","56:b3:0b",0,"fdf9:1a05:99d8:10::1","74:24:9f:d0:d0:0e","74:24:9f",0,58,6,0,0,1738874967264,1738874967265,1,2,164,1738874967264,1738874967264,0,1,86,1738874967265,1738874967265,0,1,78,"ICMPV6","Network",0,6,"","","","",""
4,0,"2605:59c8:414b:af10:872:cc47:73ae:7753","56:b3:0b:bf:aa:87","56:b3:0b",56456,"2620:1ec:8f8::10","74:24:9f:d0:d0:0e","74:24:9f",443,6,6,0,0,1738874971509,1738874976540,5031,3931,3638799,1738874971509,1738874976540,5031,2393,3522187,1738874971548,1738874976540,4992,1538,116612,"TLS","Web",0,6,"","","","",""
5,0,"2605:59c8:414b:af10:872:cc47:73ae:7753","56:b3:0b:bf:aa:87","56:b3:0b",56459,"2620:1ec:8f8::10","74:24:9f:d0:d0:0e","74:24:9f",443,6,6,0,0,1738874971539,1738874975712,4173,2859,2501347,1738874971539,1738874975712,4173,1635,2405564,1738874971565,1738874975712,4147,1224,95783,"TLS","Web",0,6,"","","","",""
